Date,Location,Precipitation (mm)
2020-01-01,New York,12.5
2020-01-02,New York,5.8
2020-01-03,New York,0.0
2020-01-04,New York,7.2
2020-01-05,New York,1.5
2020-01-01,Los Angeles,0.0
2020-01-02,Los Angeles,0.0
2020-01-03,Los Angeles,0.2
2020-01-04,Los Angeles,0.8
2020-01-05,Los Angeles,0.0
2020-01-01,Chicago,6.3
2020-01-02,Chicago,3.7
2020-01-03,Chicago,0.0
2020-01-04,Chicago,9.1
2020-01-05,Chicago,4.4
2020-01-01,San Francisco,0.0
2020-01-02,San Francisco,0.0
2020-01-03,San Francisco,1.2
2020-01-04,San Francisco,3.6
2020-01-05,San Francisco,0.7
2020-01-01,Miami,4.0
2020-01-02,Miami,3.1
2020-01-03,Miami,1.5
2020-01-04,Miami,2.8
2020-01-05,Miami,0.3
2021-01-01,New York,8.7
2021-01-02,New York,4.5
2021-01-03,New York,0.0
2021-01-04,New York,6.9
2021-01-05,New York,2.1
2021-01-01,Los Angeles,0.0
2021-01-02,Los Angeles,0.0
2021-01-03,Los Angeles,0.4
2021-01-04,Los Angeles,1.1
2021-01-05,Los Angeles,0.0
2021-01-01,Chicago,5.2
2021-01-02,Chicago,3.0
2021-01-03,Chicago,0.0
2021-01-04,Chicago,7.4
2021-01-05,Chicago,3.9
2021-01-01,San Francisco,0.0
2021-01-02,San Francisco,0.0
2021-01-03,San Francisco,1.5
2021-01-04,San Francisco,3.9
2021-01-05,San Francisco,0.6
2021-01-01,Miami,3.5
2021-01-02,Miami,2.7
2021-01-03,Miami,1.3
2021-01-04,Miami,2.3
2021-01-05,Miami,0.2
City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec New York,3.75,3.28,4.55,4.60,4.06,4.13,4.07,3.93,4.17,3.64,4.10,3.81 Los Angeles,3.06,3.20,2.84,1.15,0.27,0.05,0.01,0.03,0.20,0.79,1.25,2.71 Chicago,2.08,1.84,2.62,3.21,3.76,3.68,3.31,3.41,3.26,2.86,2.42,2.41 Houston,3.22,3.25,3.17,3.40,4.17,4.30,4.15,3.75,3.87,3.80,3.52,3.34 Miami,2.15,2.14,2.56,3.12,5.21,7.00,7.95,7.64,6.98,6.11,3.99,2.61 San Francisco,4.06,4.42,3.80,1.78,0.47,0.09,0.03,0.07,0.23,1.04,2.68,3.74 Seattle,5.75,4.85,4.26,2.77,1.46,0.80,0.49,0.60,1.07,2.36,4.41,5.43 Denver,0.47,0.47,1.39,2.11,2.59,1.99,2.13,1.59,1.06,0.98,0.70,0.56 Atlanta,4.50,4.44,4.84,3.97,3.23,3.59,5.14,4.27,3.85,3.02,3.74,3.89 Boston,3.53,3.36,3.83,3.62,3.60,3.47,3.23,3.35,3.58,3.73,3.82,3.64 Phoenix,0.76,0.71,0.62,0.26,0.12,0.05,0.07,0.18,0.31,0.38,0.59,0.64 Dallas,2.50,2.48,2.99,3.11,4.25,3.88,3.37,3.16,3.07,3.03,2.92,2.75 Philadelphia,3.11,2.92,3.41,3.50,3.47,3.32,3.17,3.13,3.09,3.17,3.21,3.22 Las Vegas,0.59,0.64,0.51,0.22,0.08,0.04,0.05,0.14,0.23,0.29,0.47,0.53 Detroit,1.63,1.37,2.10,2.69,3.24,3.33,3.15,3.22,2.88,2.30,1.90,1.68 San Diego,2.94,2.92,2.94,1.17,0.25,0.08,0.02,0.03,0.18,0.63,1.13,2.44 Austin,2.20,2.36,2.70,2.93,3.94,3.85,3.63,3.32,3.45,3.38,2.89,2.44 Nashville,3.20,3.15,4.01,3.97,4.22,3.89,3.73,3.58,3.46,3.51,3.48,3.32 Portland,6.20,5.84,4.75,3.50,2.50,1.90,1.20,1.75,3.10,5.02,6.40,6.78 Orlando,2.12,2.21,2.85,3.15,5.10,7.01,8.15,7.56,6.98,6.10,3.98,2.62 St. Louis,2.17,2.05,2.98,4.10,4.36,4.28,4.03,3.97,3.91,3.78,3.52,2.96 San Antonio,1.80,1.88,2.55,3.01,4.12,4.01,3.72,3.51,3.65,3.58,3.09,2.73 Charlotte,3.01,2.84,3.26,3.58,3.77,3.65,3.47,3.36,3.23,3.22,3.09,3.04 Raleigh,3.08,2.95,3.37,3.62,3.82,3.68,3.42,3.33,3.19,3.17,3.12,3.07 Tampa,2.20,2.22,2.61,3.12,5.11,7.05,8.10,7.55,6.89,6.02,3.91,2.65 Cleveland,2.40,2.17,2.75,3.21,3.98,3.93,3.71,3.67,3.49,3.14,2.87,2.51 Denver,0.47,0.47,1.39,2.11,2.59,1.99,2.13,1.59,1.06,0.98,0.70,0.56 Phoenix,0.76,0.71,0.62,0.26,0.12,0.05,0.07,0.18,0.31,0.38,0.59,0.64 Memphis,3.12,3.04,3.72,4.00,4.18,3.98,3.80,3.65,3.47,3.27,3.09,3.00 Salt Lake City,1.45,1.29,1.75,2.30,2.91,2.85,2.65,2.71,2.43,2.11,1.75,1.52 Baltimore,3.20,3.01,3.42,3.54,3.65,3.51,3.37,3.29,3.19,3.12,3.07,3.03 Louisville,3.00,2.78,3.26,3.58,3.74,3.61,3.42,3.33,3.17,3.09,3.02,2.98 San Jose,4.04,4.36,3.81,1.88,0.56,0.12,0.03,0.09,0.21,0.94,2.68,3.52 Jacksonville,2.28,2.21,2.74,3.05,5.01,6.99,8.04,7.50,6.91,6.05,3.93,2.57 Indianapolis,2.64,2.51,3.10,3.45,3.82,3.75,3.53,3.46,3.27,3.09,2.97,2.78 Austin,2.20,2.36,2.70,2.93,3.94,3.85,3.63,3.32,3.45,3.38,2.89,2.44

